"filename", "language", "TypeScript", "JSON", "JSON with Comments", "CSS", "vue", "XML", "Markdown", "HTML", "comment", "blank", "total"
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\mock.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 4, 5, 57
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\notification.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 4, 7, 43
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\region.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 3, 5, 28
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\resume.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 6, 9, 60
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\task.ts", "TypeScript", 102, 0, 0, 0, 0, 0, 0, 0, 13, 14, 129
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\upload.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 4, 27
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\api\user.ts", "TypeScript", 21, 0, 0, 0, 0, 0, 0, 0, 2, 3, 26
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\assets\uniseek-logo.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\assets\uniseek_text_white_ZH.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\assets\vite.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1, 2
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\assets\vue.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\components\HelloWorld.vue", "vue", 0, 0, 0, 0, 90, 0, 0, 0, 0, 6, 96
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\components\PdfPreview.vue", "vue", 0, 0, 0, 0, 384, 0, 0, 0, 2, 53, 439
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\composables\useChatWebSocket.ts", "TypeScript", 86, 0, 0, 0, 0, 0, 0, 0, 1, 14, 101
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\layouts\AdminLayout.vue", "vue", 0, 0, 0, 0, 189, 0, 0, 0, 4, 28, 221
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\layouts\DefaultLayout.vue", "vue", 0, 0, 0, 0, 323, 0, 0, 0, 9, 42, 374
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\main.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 6, 5, 27
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\AccountSecurity.vue", "vue", 0, 0, 0, 0, 433, 0, 0, 0, 6, 42, 481
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Chat.vue", "vue", 0, 0, 0, 0, 493, 0, 0, 0, 3, 55, 551
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Company.vue", "vue", 0, 0, 0, 0, 818, 0, 0, 0, 6, 103, 927
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\EnterpriseCertification.vue", "vue", 0, 0, 0, 0, 442, 0, 0, 0, 2, 34, 478
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Home.vue", "vue", 0, 0, 0, 0, 1094, 0, 0, 0, 8, 148, 1250
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\JobDetail.vue", "vue", 0, 0, 0, 0, 701, 0, 0, 0, 9, 95, 805
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\JobManagement.vue", "vue", 0, 0, 0, 0, 259, 0, 0, 0, 0, 39, 298
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Jobs.vue", "vue", 0, 0, 0, 0, 1148, 0, 0, 0, 9, 147, 1304
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Login.vue", "vue", 0, 0, 0, 0, 497, 0, 0, 0, 18, 65, 580
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Messages.vue", "vue", 0, 0, 0, 0, 1238, 0, 0, 0, 1, 107, 1346
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\MyApplications.vue", "vue", 0, 0, 0, 0, 615, 0, 0, 0, 10, 86, 711
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\PostJob.vue", "vue", 0, 0, 0, 0, 384, 0, 0, 0, 0, 28, 412
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Profile.vue", "vue", 0, 0, 0, 0, 865, 0, 0, 0, 10, 82, 957
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Resume.vue", "vue", 0, 0, 0, 0, 1157, 0, 0, 0, 22, 137, 1316
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\ResumePool.vue", "vue", 0, 0, 0, 0, 667, 0, 0, 0, 7, 69, 743
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\ScreenPreview.vue", "vue", 0, 0, 0, 0, 1553, 0, 0, 0, 10, 65, 1628
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\Talents.vue", "vue", 0, 0, 0, 0, 483, 0, 0, 0, 3, 67, 553
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\admin\Dashboard.vue", "vue", 0, 0, 0, 0, 182, 0, 0, 0, 0, 26, 208
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\admin\EnterpriseAudit.vue", "vue", 0, 0, 0, 0, 247, 0, 0, 0, 0, 24, 271
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\admin\OperationLogs.vue", "vue", 0, 0, 0, 0, 248, 0, 0, 0, 0, 26, 274
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\admin\TaskAudit.vue", "vue", 0, 0, 0, 0, 285, 0, 0, 0, 0, 26, 311
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\pages\admin\UserManagement.vue", "vue", 0, 0, 0, 0, 235, 0, 0, 0, 0, 21, 256
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\router\index.ts", "TypeScript", 188, 0, 0, 0, 0, 0, 0, 0, 9, 13, 210
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\stores\app.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 3, 4, 16
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\stores\user.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 2, 6, 42
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\src\style.css", "CSS", 0, 0, 0, 259, 0, 0, 0, 0, 0, 39, 298
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\tsconfig.app.json", "JSON", 0, 18, 0, 0, 0, 0, 0, 0, 1, 2, 21
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\tsconfig.json", "JSON with Comments", 0, 0, 7, 0, 0, 0, 0, 0, 0, 1, 8
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\tsconfig.node.json", "JSON", 0, 19, 0, 0, 0, 0, 0, 0, 2, 3, 24
"d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_vue\vite.config.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 6, 2, 32
"Total", "-", 1159, 2577, 7, 259, 15052, 29, 3, 13, 265, 1872, 21236
