Date : 2026-07-17 11:17:48
Directory : d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java
Total : 179 files,  7236 codes, 2503 comments, 1697 blanks, all 11436 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
| src\main\java\com\uniseek\common                                                                                                                |         10 |        280 |        118 |         88 |        486 |
| src\main\java\com\uniseek\common (Files)                                                                                                        |          2 |        109 |         39 |         35 |        183 |
| src\main\java\com\uniseek\common\annotation                                                                                                     |          1 |         12 |         16 |          6 |         34 |
| src\main\java\com\uniseek\common\config                                                                                                         |          2 |         32 |         14 |          9 |         55 |
| src\main\java\com\uniseek\common\exception                                                                                                      |          3 |         56 |         27 |         21 |        104 |
| src\main\java\com\uniseek\common\handler                                                                                                        |          1 |         52 |          7 |         10 |         69 |
| src\main\java\com\uniseek\common\util                                                                                                           |          1 |         19 |         15 |          7 |         41 |
| src\main\java\com\uniseek\config                                                                                                                |          2 |        105 |         12 |         23 |        140 |
| src\main\java\com\uniseek\constant                                                                                                              |          2 |         27 |         25 |         21 |         73 |
| src\main\java\com\uniseek\controller                                                                                                            |         10 |        619 |        316 |        114 |      1,049 |
| src\main\java\com\uniseek\dao                                                                                                                   |         14 |        213 |        208 |         74 |        495 |
| src\main\java\com\uniseek\dto                                                                                                                   |         14 |        346 |        157 |        201 |        704 |
| src\main\java\com\uniseek\entity                                                                                                                |         15 |        308 |        184 |        197 |        689 |
| src\main\java\com\uniseek\operationlog                                                                                                          |          2 |        125 |         35 |         25 |        185 |
| src\main\java\com\uniseek\operationlog\annotation                                                                                               |          1 |         12 |         13 |          6 |         31 |
| src\main\java\com\uniseek\operationlog\aspect                                                                                                   |          1 |        113 |         22 |         19 |        154 |
| src\main\java\com\uniseek\service                                                                                                               |         28 |      1,787 |        583 |        366 |      2,736 |
| src\main\java\com\uniseek\service (Files)                                                                                                       |         15 |        171 |        378 |         97 |        646 |
| src\main\java\com\uniseek\service\impl                                                                                                          |         13 |      1,616 |        205 |        269 |      2,090 |
| src\main\java\com\uniseek\task                                                                                                                  |          1 |         37 |         11 |         13 |         61 |
| src\main\java\com\uniseek\task\schedule                                                                                                         |          1 |         37 |         11 |         13 |         61 |
| src\main\java\com\uniseek\upload                                                                                                                |          2 |        137 |         61 |         34 |        232 |
| src\main\java\com\uniseek\upload\controller                                                                                                     |          1 |         36 |         19 |          8 |         63 |
| src\main\java\com\uniseek\upload\service                                                                                                        |          1 |        101 |         42 |         26 |        169 |
| src\main\java\com\uniseek\user                                                                                                                  |          3 |        177 |         42 |         39 |        258 |
| src\main\java\com\uniseek\user\controller                                                                                                       |          1 |         35 |         12 |          8 |         55 |
| src\main\java\com\uniseek\user\service                                                                                                          |          2 |        142 |         30 |         31 |        203 |
| src\main\java\com\uniseek\user\service (Files)                                                                                                  |          1 |          7 |         20 |          6 |         33 |
| src\main\java\com\uniseek\user\service\impl                                                                                                     |          1 |        135 |         10 |         25 |        170 |
| src\main\java\com\uniseek\util                                                                                                                  |          2 |         79 |         60 |         22 |        161 |
| src\main\resources                                                                                                                              |         14 |        753 |         31 |         76 |        860 |
| src\main\resources (Files)                                                                                                                      |          1 |         29 |          0 |          5 |         34 |
| src\main\resources\mapper                                                                                                                       |         13 |        724 |         31 |         71 |        826 |
+-------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                                                                                                        | language | code       | comment    | blank      | total      |
+-------------------------------------------------------------------------------------------------------------------------------------------------+----------+------------+------------+------------+------------+
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.idea\dataSources.xml                                                       | XML      |         17 |          0 |          0 |         17 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.idea\encodings.xml                                                         | XML      |          7 |          0 |          0 |          7 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.idea\misc.xml                                                              | XML      |         13 |          0 |          0 |         13 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.idea\vcs.xml                                                               | XML      |          7 |          0 |          0 |          7 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1a91ce3ffeG5HFFXelIolin7.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1a9282fffeZ9Kfv48uxM4qTF.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ad5511ffeTQmvny71n75xZj.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ad5eb1ffexyzlcJgLKfsmLs.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ad70f6ffeVAwVnJt6A1EB5i.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1b4c6cdffegabUvzYOrO3KEg.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1b7cab6ffenkTu9XPyxQcVEW.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1b7de00fferd4DL6EaDuzhYv.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1bc6b07ffek64qE5A7Jx04WI.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1c0f01fffeyVQU75f1GNbluM.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1c1068effeyODJvsOEopiwM3.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1c564bcffesJSkDD5HQJHsiF.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1c56dafffej3ogLajtqlTUGo.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ca4afdffe5pvAaMxRqDFwAB.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ce73b9ffe5FnhKrztPgPlN7.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ce7f4effeu5CyHxEaZWMRPB.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ce88bbffeCWidldzDRLRAVT.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ce9572ffet3YmDYg24eYYHF.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d168abffetrApqcqcejRtbL.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d17181ffeEDMvJe7FSy3mqY.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d17bd7ffe7t2zEAAGl9g5Hh.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d185ecffesjWrNRuvNK3u22.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d19703ffeBLaO3MiUDAGNxx.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d64e51ffeIw5armKSNSTpzv.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1d95be0ffe759xX8vWjGDj1v.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1db4d60ffe4JtyoTq55jSG9H.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1de1f82ffeWxhGDmzl30ohY4.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1e1320cffeR79Vfo0tyu15FH.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1e22523ffewJyxrI7QhtPeAh.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1e2b24fffeso4bC98jcYxmYm.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1e41ec4ffedqM5R9Zo6oppB4.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ebeb15ffeuSLRgfdHVV70R5.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ed7c1effeqccp34nhJRZBkA.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ee7e11ffemz1vARRdFOb8WP.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\.omo\run-continuation\ses_0a1ef4c58ffeW14D3tUVsep5H4.json                   | JSON     |         10 |          0 |          0 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\pom.xml                                                                     | XML      |         88 |         10 |         15 |        113 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\UniSeekApplication.java                           | Java     |         11 |          0 |          2 |         13 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\controller\AdminEnterpriseController.java   | Java     |         41 |         21 |          7 |         69 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\controller\AdminOperationLogController.java | Java     |         32 |         17 |          6 |         55 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\controller\AdminStatisticsController.java   | Java     |         59 |         49 |         13 |        121 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\controller\AdminTaskController.java         | Java     |         49 |         30 |          8 |         87 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\controller\AdminUserController.java         | Java     |         57 |         36 |          9 |        102 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\service\AdminService.java                   | Java     |         32 |        128 |         29 |        189 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\admin\service\impl\AdminServiceImpl.java          | Java     |        738 |         86 |        135 |        959 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\ChangePasswordRequest.java               | Java     |         14 |          6 |          7 |         27 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\LoginRequest.java                        | Java     |         10 |          5 |          6 |         21 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\RealNameAuthRequest.java                 | Java     |         10 |          5 |          6 |         21 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\RealNameAuthVO.java                      | Java     |         15 |         12 |          8 |         35 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\RegisterRequest.java                     | Java     |         30 |          9 |         10 |         49 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\UpdateEmailRequest.java                  | Java     |         12 |          4 |          5 |         21 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\UpdatePhoneRequest.java                  | Java     |         12 |          4 |          5 |         21 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\dto\UserVO.java                              | Java     |         34 |         25 |         16 |         75 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\service\AuthService.java                     | Java     |         14 |         57 |         13 |         84 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\auth\service\impl\AuthServiceImpl.java            | Java     |        245 |         40 |         44 |        329 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\chat\websocket\ChatWebSocketHandler.java          | Java     |        329 |        109 |         55 |        493 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\chat\websocket\WebSocketConfig.java               | Java     |         17 |          7 |          5 |         29 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\ApiResult.java                             | Java     |         47 |         25 |         16 |         88 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\PageResult.java                            | Java     |         62 |         14 |         19 |         95 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\annotation\OperationLog.java               | Java     |         12 |         16 |          6 |         34 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\config\MyBatisPlusConfig.java              | Java     |         16 |          9 |          5 |         30 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\config\SchedulingConfig.java               | Java     |         16 |          5 |          4 |         25 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\exception\BusinessException.java           | Java     |         16 |          9 |          7 |         32 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\exception\GlobalExceptionHandler.java      | Java     |         28 |         15 |          8 |         51 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\exception\UnauthorizedException.java       | Java     |         12 |          3 |          6 |         21 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\handler\StringListTypeHandler.java         | Java     |         52 |          7 |         10 |         69 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\common\util\UserContext.java                      | Java     |         19 |         15 |          7 |         41 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\config\JwtAuthInterceptor.java                    | Java     |         56 |          9 |         13 |         78 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\config\WebMvcConfig.java                          | Java     |         49 |          3 |         10 |         62 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\constant\OperationType.java                       | Java     |         19 |         22 |         18 |         59 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\constant\RoleConstant.java                        | Java     |          8 |          3 |          3 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\ApplicationController.java             | Java     |         58 |         50 |         11 |        119 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\AuthController.java                    | Java     |         84 |         39 |         15 |        138 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\CategoryController.java                | Java     |         20 |          7 |          6 |         33 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\ChatController.java                    | Java     |         83 |         48 |         15 |        146 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\EnterpriseController.java              | Java     |         64 |         35 |         11 |        110 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\FavoriteController.java                | Java     |         56 |          0 |         10 |         66 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\NotificationController.java            | Java     |         47 |         15 |          8 |         70 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\RegionController.java                  | Java     |         31 |         15 |          8 |         54 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\ResumeController.java                  | Java     |         79 |         40 |         14 |        133 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\controller\TaskController.java                    | Java     |         97 |         67 |         16 |        180 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\CategoryMapper.java                           | Java     |          7 |          3 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\ChatMessageMapper.java                        | Java     |         18 |         32 |          7 |         57 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\ChatSessionMapper.java                        | Java     |         19 |         48 |         10 |         77 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\DailyStatisticsMapper.java                    | Java     |          7 |          3 |          3 |         13 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\EnterpriseMapper.java                         | Java     |         21 |         14 |          6 |         41 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\FavoriteMapper.java                           | Java     |          7 |          0 |          3 |         10 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\NotificationMapper.java                       | Java     |         12 |         15 |          5 |         32 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\OperationLogMapper.java                       | Java     |          7 |          3 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\RealNameAuthMapper.java                       | Java     |          7 |          3 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\RegionMapper.java                             | Java     |          7 |          3 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\ResumeMapper.java                             | Java     |         12 |         18 |          4 |         34 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\TaskApplicationMapper.java                    | Java     |          7 |          3 |          3 |         13 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\TaskMapper.java                               | Java     |         75 |         60 |         13 |        148 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dao\UserMapper.java                               | Java     |          7 |          3 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\ApplyRequest.java                             | Java     |          8 |          4 |          5 |         17 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\CategoryVO.java                               | Java     |         12 |          8 |          9 |         29 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\ChatMessageVO.java                            | Java     |         14 |         11 |         12 |         37 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\ChatSessionVO.java                            | Java     |         20 |         17 |         18 |         55 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\CompleteRequest.java                          | Java     |          6 |          4 |          4 |         14 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\EnterpriseRequest.java                        | Java     |         15 |          9 |         10 |         34 |
| d:\Temps\yaoshi\Desktop\code\istone\AAAAAAAAAA\UniSeek\uniseek_java\src\main\java\com\uniseek\dto\HotEnterpriseVO.java                          | Java     |         61 |          0 |         20 |         81 |
